name,album,artist,album_cover
HEAVEN,THE FIRST TIME (DELUXE VERSION),The Kid LAROI,https://i.scdn.co/image/ab67616d0000b273127bb9583e9861edbcde38f6
Water Fountain,Narrated For You,Alec Benjamin,https://i.scdn.co/image/ab67616d0000b273459d675aa0b6f3b211357370
like i need u,THE REAPER,keshi,https://i.scdn.co/image/ab67616d0000b27394237be74edae41560152bce
Timeless (with Playboi Carti),Timeless,"The Weeknd, Playboi Carti",https://i.scdn.co/image/ab67616d0000b27394f662ef3b5677376d8a78d4
Starry Eyes,Dawn FM,The Weeknd,https://i.scdn.co/image/ab67616d0000b2734ab2520c2c77a1d66b9ee21d
